Altium Designer Pick and Place Locations
E:\Altium\Projects\STM32F417 Demo Board\Project Outputs for STM32F417 Demo Board\Pick Place for PCB(Prototip_Assembly).csv

========================================================================================================================
File Design Information:

Date:       19-01-25
Time:       20:25
Revision:   Not in VersionControl
Variant:    Prototip_Assembly
Units used: mm

"Designator","Manufacturer Part Number","Layer","Description","Center-X(mm)","Center-Y(mm)","Rotation"
"C745","CL21A106MQFNNNE","TopLayer","Cap, Cer, 10uF, 6.3V, M2012","34.5000mm","37.0000mm","90"
"C746","04026D104KAT4A","TopLayer","Cap, Cer, 100nF, 6.3V, M1005","34.7500mm","39.0000mm","180"
"C747","04026D104KAT4A","TopLayer","Cap, Cer, 100nF, 6.3V, M1005","30.5000mm","37.2000mm","0"
"C748","04026D104KAT4A","TopLayer","Cap, Cer, 100nF, 6.3V, M1005","31.0000mm","34.5000mm","90"
"C749","CC1206MKX7RDBB102","TopLayer","Cap, Cer, 1nF, 2kV, M3216","39.0000mm","17.0000mm","180"
"C750","04026D104KAT4A","BottomLayer","Cap, Cer, 100nF, 6.3V, M1005","32.5000mm","29.2500mm","0"
"C751","CC1206MKX7RDBB102","BottomLayer","Cap, Cer, 1nF, 2kV, M3216","28.5000mm","14.5000mm","270"
"C752","04026D104KAT4A","BottomLayer","Cap, Cer, 100nF, 6.3V, M1005","24.4000mm","29.2500mm","0"
"C753","04026D104KAT4A","BottomLayer","Cap, Cer, 100nF, 6.3V, M1005","30.8000mm","29.2500mm","0"
"C754","04026D104KAT4A","BottomLayer","Cap, Cer, 100nF, 6.3V, M1005","26.1500mm","29.2500mm","0"
"C40_Bt1","04026D104KAT4A","TopLayer","Cap, Cer, 100nF, 6.3V, M1005","59.5000mm","62.0000mm","270"
"C40_Bt2","04026D104KAT4A","TopLayer","Cap, Cer, 100nF, 6.3V, M1005","71.0000mm","62.0000mm","270"
"C40_Bt3","04026D104KAT4A","TopLayer","Cap, Cer, 100nF, 6.3V, M1005","82.5000mm","62.0000mm","270"
"C60_Sw1","04026D104KAT4A","TopLayer","Cap, Cer, 100nF, 6.3V, M1005","67.5000mm","51.5000mm","90"
"C60_Sw2","04026D104KAT4A","TopLayer","Cap, Cer, 100nF, 6.3V, M1005","74.5000mm","51.5000mm","90"
"C60_Sw3","04026D104KAT4A","TopLayer","Cap, Cer, 100nF, 6.3V, M1005","81.5000mm","51.5000mm","90"
"Conn140","S04B-XASK-1(LF)(SN)","TopLayer","Conn, JST, 4P, TH, XA, Side Entry","5.7500mm","80.0000mm","90"
"Conn141","S06B-PASK-2(LF)(SN)","TopLayer","Conn, JST, 6P, TH, PA, Side Entry","7.4500mm","45.0000mm","90"
"Conn200","S16B-PADSS-1(LF)(SN)","TopLayer","Conn, JST, 16P, TH, PAD, Side Entry","69.0000mm","11.3000mm","180"
"Conn201","S16B-PADSS-1(LF)(SN)","TopLayer","Conn, JST, 16P, TH, PAD, Side Entry","49.0000mm","11.3000mm","180"
"Conn600","S04B-XASK-1(LF)(SN)","TopLayer","Conn, JST, 4P, TH, XA, Side Entry","27.5000mm","94.2500mm","0"
"Conn620","S06B-PASK-2(LF)(SN)","TopLayer","Conn, JST, 6P, TH, PA, Side Entry","7.4500mm","27.5000mm","90"
"Conn640","S10B-PADSS-1(LF)(SN)","TopLayer","Conn, JST, 10P, TH, PAD, Side Entry","10.8000mm","62.5000mm","90"
"Conn660","USB4056-03-A","TopLayer","Conn, USB, TYPE-C","95.4000mm","25.0000mm","90"
"Conn700","XG4C-2034","TopLayer","Conn, Header, 20P, RA, TH, Shrouded","87.7300mm","48.4300mm","90"
"Conn740","RJHSE5381A1","TopLayer","Conn, RJ45, 2 Leds, Shielded, Side Entry","28.5080mm","10.0320mm","0"
"D100","CES521,L3F","TopLayer","Diode, Schottky, 30V, 200mA, SOD-523","69.0000mm","34.5000mm","90"
"D101","SML-D12M1WT86","TopLayer","Diode, Led, Green-Yellow, 2.2V, 20mA, M1608","72.0000mm","42.7500mm","90"
"D102","SML-D12M1WT86","TopLayer","Diode, Led, Green-Yellow, 2.2V, 20mA, M1608","81.5000mm","15.5000mm","180"
"D103","SML-D12M1WT86","TopLayer","Diode, Led, Green-Yellow, 2.2V, 20mA, M1608","89.5000mm","8.0000mm","270"
